video_name,start_time,end_time,error_type,error_description
1_30_360p.mp4,253.50,314.82,Technique Error,pour directly
1_30_360p.mp4,453.80,460.28,Technique Error,flipped top muffin
1_32_360p.mp4,4.17,40.98,Measurement Error,2 instead of 1 egg
1_32_360p.mp4,98.86,127.19,Technique Error,stir too rapidly
1_33_360p.mp4,79.57,255.71,Technique Error,"Accidentally, cracked an egg such that it spills on the kitchen top and floor and clean it"
1_33_360p.mp4,278.59,337.07,Technique Error,Cut the muffin improperly such that it results into 3 pieces
1_34_360p.mp4,1.37,31.66,Technique Error,Cracked egg with shell and did not clear it
1_36_360p.mp4,53.12,145.22,Measurement Error,Add 2 eggs instead of 1 egg.
1_43_360p.mp4,12.06,58.42,Measurement Error,2 instead of 1 egg
1_136_360p.mp4,49.83,150.83,Measurement Error,Add 2 eggs instead of 1 egg.
1_136_360p.mp4,561.93,744.69,Preparation Error,The material in microwave is spilled out
1_143_360p.mp4,18.13,64.24,Measurement Error,2 instead of 1 egg
1_143_360p.mp4,229.60,272.37,Measurement Error,Cut the muffin into multiple pieces instead of two halves
2_26_360p.mp4,619.00,762.16,Technique Error,Spill soy sauce while measuring.
2_28_360p.mp4,749.45,829.81,Preparation Error,Spill some while pouring the sauces.
2_41_360p.mp4,237.86,281.84,Technique Error,Chop instead of slice
2_42_360p.mp4,691.55,728.98,Technique Error,chop instead of slice
2_47_360p.mp4,189.60,207.60,Technique Error,Chop instead of slice
2_47_360p.mp4,747.73,786.73,Technique Error,Dropping one meatball from the plate while pouring the sauces
3_12_360p.mp4,516.65,645.98,Other,Rose above the brim
3_36_360p.mp4,254.88,295.99,Technique Error,spill some out
3_46_360p.mp4,144.10,174.26,Technique Error,spill while adding and add only 2 tbsp instead of 4tbsp
4_30_360p.mp4,741.51,780.14,Technique Error,Water spilled outside when mixing the flavour
4_32_360p.mp4,119.38,146.75,Technique Error,Throw the noodles block while opening from the package
4_32_360p.mp4,726.40,750.68,Technique Error,Stir it faster such that water spills out of the bowl
4_36_360p.mp4,506.39,525.12,Technique Error,Spilling some vegetables on the counter top.
4_36_360p.mp4,986.25,1003.20,Technique Error,While mixing the flavour packet and spilled some out of the bowl.
4_40_360p.mp4,313.42,335.63,Technique Error,Chop instead of slice
4_43_360p.mp4,776.45,807.99,Technique Error,Stir fast to spill the water out of the bowl
5_27_360p.mp4,853.05,874.77,Technique Error,Spill while pouring milk into the filter to wet the grounds
5_27_360p.mp4,975.07,1017.22,Technique Error,Spill while pouring the milk
5_28_360p.mp4,26.84,54.77,Technique Error,spill some water while transferring water to a kettle
5_37_360p.mp4,92.17,122.57,Technique Error,"transfer-transfer water to a kettle, while spilling some water outside"
5_37_360p.mp4,445.49,486.44,Technique Error,Spilling some grounds outside
5_44_360p.mp4,5.23,105.60,Technique Error,Spilling while transferring from packet to weighing scale
5_44_360p.mp4,5.23,105.60,Measurement Error,Weigh-Weigh the coffee beans (0.6-0.7 oz) as coffee beans got spilled.
5_44_360p.mp4,330.18,371.29,Technique Error,While transferring from weighing scale to coffee grinder spilling occurs.
7_24_360p.mp4,660.95,744.41,Preparation Error,Spill some cheese.
7_38_360p.mp4,271.00,320.43,Preparation Error,Placing the overflown contents back into the bowl to add sauce
7_50_360p.mp4,125.37,171.46,Technique Error,Spilling the egg contents while mixing.
8_26_360p.mp4,1.98,44.02,Technique Error,Spill
8_31_360p.mp4,4.52,45.37,Technique Error,Spilled while filling the milk
8_31_360p.mp4,99.77,146.48,Technique Error,Add-Add 1/5 teaspoon cinnamon to the mug. Spilling happened while adding. Also first put 1/2 tsp first and then to make 1/5 remove the added cinnamon from top of milk. Incorrect way to add 1/5 tsp cinnamon.
8_31_360p.mp4,152.84,170.75,Technique Error,Mix-Mix the contents of the mug. Not doing circular and slowly mixing the contents of mug. Instead did hastily and spilling the milk. Also motion was up-down and sideways instead of circular.
8_33_360p.mp4,259.22,294.46,Technique Error,Mix-Mix the contents of the mug with spilling
8_35_360p.mp4,7.56,87.68,Technique Error,Spill some while filling the mug.
8_40_360p.mp4,202.62,261.69,Technique Error,Spill milk while adding it to the plate
8_44_360p.mp4,7.19,61.17,Technique Error,spilling milk while filling the milk
8_44_360p.mp4,186.77,343.06,Preparation Error,Milk rose up and spilled from cup in the microwave due to more temperature and time
8_45_360p.mp4,4.48,38.90,Technique Error,Spill while filling the mug
8_50_360p.mp4,163.26,185.88,Technique Error,Spill while adding chocolate
9_36_360p.mp4,137.28,198.02,Measurement Error,Whisk 2 eggs instead of 1 egg
9_45_360p.mp4,189.57,212.20,Technique Error,Measure on top of mug to spill
10_26_360p.mp4,121.33,147.28,Technique Error,Roll it tightly - The jelly spills out
10_46_360p.mp4,141.99,182.57,Technique Error,spill some out while scooping jelly
10_48_360p.mp4,232.91,252.29,Measurement Error,"Did not spread the butter properly, instead leave drops of butter on the tortilla"
10_50_360p.mp4,51.05,86.75,Technique Error,Spill some jelly while scooping
12_26_360p.mp4,50.16,120.93,Technique Error,Chop instead of slice
12_41_360p.mp4,196.35,241.75,Technique Error,Spilled while measuring black pepper
12_41_360p.mp4,255.54,270.04,Technique Error,Spill while sprinkling mozzarella cheese
12_41_360p.mp4,380.18,395.01,Technique Error,Throwing tomato slices on platter instead of placing
12_43_360p.mp4,143.67,148.79,Technique Error,Spill tomatoes while placing
12_48_360p.mp4,117.39,123.84,Measurement Error,Accidentally spilled a lot of black pepper
12_51_360p.mp4,138.45,143.51,Technique Error,Spilled the whole bottle of black pepper on the platter
12_51_360p.mp4,174.08,180.13,Technique Error,Spill some italian seasoning while garnishing
12_51_360p.mp4,204.20,212.26,Technique Error,Sprinkling from too high and spilling the cheese
12_51_360p.mp4,223.61,231.37,Technique Error,Spilling the olive oil while drizzling
13_12_360p.mp4,507.46,514.81,Technique Error,Spilled the corn
13_31_360p.mp4,231.23,238.63,Technique Error,Spill while adding
13_32_360p.mp4,41.48,73.75,Technique Error,Spill while rinsing
13_32_360p.mp4,92.89,102.07,Technique Error,Spill while adding
13_32_360p.mp4,332.42,345.01,Technique Error,Spill while stirring
13_32_360p.mp4,432.32,449.92,Technique Error,Spill while extracting
13_32_360p.mp4,463.87,469.00,Technique Error,Spill while adding
13_32_360p.mp4,469.01,478.64,Technique Error,Spill while  mixing
13_36_360p.mp4,136.60,166.06,Technique Error,Spilling the corn while measuring
13_36_360p.mp4,188.62,225.86,Technique Error,Spilling while thawing
13_38_360p.mp4,87.84,94.60,Technique Error,Spill while adding the corn to the bowl
13_41_360p.mp4,436.06,444.01,Technique Error,spilled some pepper into corn bowl while measuring leading to adding extra pepper
13_41_360p.mp4,882.54,901.66,Technique Error,spilled some corn while mixing
13_44_360p.mp4,88.00,124.49,Technique Error,spill the corn while adding it to seive
13_44_360p.mp4,126.90,212.62,Technique Error,spill some corn in sink while thawing
13_44_360p.mp4,512.23,533.54,Technique Error,spill while stirring
13_44_360p.mp4,553.91,561.10,Technique Error,spill some salt while adding
13_45_360p.mp4,145.95,162.52,Technique Error,Spilling while adding corn to a microwave-safe bowl
13_45_360p.mp4,674.55,684.80,Technique Error,Spill some lime juice
15_28_360p.mp4,288.21,367.94,Technique Error,slice instead of chopping the tomatoes
15_29_360p.mp4,983.77,1008.00,Technique Error,Spill while transferring
15_30_360p.mp4,5.43,45.68,Measurement Error,Spill and as a consequence added more oil than required
15_30_360p.mp4,5.43,45.68,Technique Error,Spill oil while adding to the pan
15_30_360p.mp4,372.46,395.42,Technique Error,spill garlic while adding
15_37_360p.mp4,201.03,262.53,Technique Error,spill some out while adding
15_37_360p.mp4,529.34,555.99,Technique Error,Spill out while mixing
15_39_360p.mp4,212.25,293.05,Technique Error,Heat-Heat 3 tbsp oil in a pan over medium heat. Spilling happened while putting oil in the pan.
15_41_360p.mp4,283.10,314.06,Preparation Error,spilled some out
15_41_360p.mp4,602.43,685.29,Technique Error,spill some water while adding to blender
15_41_360p.mp4,862.00,878.77,Preparation Error,spill some out while adding to the pan
15_41_360p.mp4,883.63,920.00,Technique Error,spill some out while mixing
15_46_360p.mp4,168.47,207.00,Technique Error,Spill out while scooping and adding mustard seeds to the pan
16_26_360p.mp4,6.82,94.27,Technique Error,Slice instead of chop
